piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Catholic White Straight College degree Rural Married women,Mosaic middle,White,Catholic,899.5477582,38.02462246,0.53794662,37.47577997,8.068048743,0.437438288,Mixed,0.273504878,0.16393341
Catholic White Straight No degree Suburban Unmarried men,Mosaic middle,White,Catholic,894.1957993,33.91595738,0.50983023,35.38690583,7.115831189,0.4348357,Mixed,0.280960801,0.1538749
Nothing in particular White Straight College degree Suburban Married women,Mosaic middle,White,Nothing in particular,890.0134621,69.54237131,0.71544087,69.24279948,5.924917905,0.432801884,Mixed,0.133117743,0.299684141
Evangelical White Straight College degree Urban Married women,White evangelicals,White,Evangelical,869.6899238,29.9969973,0.474941143,32.01714164,6.627701577,0.422918814,Mixed,0.287512298,0.135406516
Atheist White Straight College degree Suburban Married men,Secular,White,Atheist,867.8472162,88.01722337,0.823173459,86.69427066,2.861273273,0.42202273,Democratic,0.056153202,0.365869527
Protestant White Straight College degree Suburban Unmarried women,Mosaic middle,White,Protestant,843.7102085,59.34402828,0.690148705,60.95477484,8.751764526,0.410285219,Mixed,0.160196788,0.250088431
Evangelical Black Straight No degree Suburban Unmarried women,Black people,Black,Evangelical,831.1716106,90.36919679,0.660715026,83.22684758,2.815100956,0.404187863,Democratic,0.067795046,0.336392817
Evangelical Black Straight No degree Urban Unmarried men,Black people,Black,Evangelical,806.9849254,82.1847191,0.621120098,77.17553619,4.331378681,0.392426195,Democratic,0.089569175,0.30285702
Catholic White Straight College degree Rural Married men,Mosaic middle,White,Catholic,802.1562329,31.14770757,0.437559231,34.2964001,7.788452771,0.390078065,Mixed,0.256295331,0.133782734
Nothing in particular White Straight College degree Suburban Married men,Mosaic middle,White,Nothing in particular,780.1234467,63.74011236,0.644815714,62.38800018,5.7438838,0.37936381,Mixed,0.142686316,0.236677494
Catholic White Straight College degree Urban Married men,Mosaic middle,White,Catholic,779.4294858,48.97273488,0.527631479,51.40120853,9.487932739,0.379026346,Mixed,0.184202223,0.194824122
Catholic White Straight No degree Urban Unmarried women,Mosaic middle,White,Catholic,779.3741948,52.90676125,0.577485336,53.56838181,10.15689231,0.378999459,Mixed,0.175975582,0.203023877
Protestant White Straight No degree Suburban Unmarried men,Mosaic middle,White,Protestant,720.8407205,33.734217,0.495554885,36.45262601,8.18315729,0.350535397,Mixed,0.22275604,0.127779357
Catholic White Straight No degree Urban Married men,Mosaic middle,White,Catholic,720.3943417,37.08467385,0.489600355,38.65647785,12.47416596,0.350318329,Mixed,0.214897602,0.135420727
Protestant White Straight No degree Urban Unmarried women,Mosaic middle,White,Protestant,716.5822269,55.82639464,0.608540603,54.78522478,9.978862881,0.348464547,Mixed,0.157557462,0.190907086
Nothing in particular White Straight No degree Urban Unmarried women,Mosaic middle,White,Nothing in particular,711.5692963,64.75552678,0.647719884,58.98364922,5.244567481,0.346026825,Mixed,0.141927576,0.204099249
Catholic White Straight No degree Urban Married women,Mosaic middle,White,Catholic,704.9317352,43.32807476,0.537321152,45.69352223,14.03627636,0.342799066,Mixed,0.186162098,0.156636967
Catholic White Straight No degree Rural Unmarried men,Mosaic middle,White,Catholic,701.3713613,30.92739943,0.468920371,32.3790684,5.800809078,0.341067703,Mixed,0.230633158,0.110434545
Catholic White Straight College degree Suburban Unmarried men,Mosaic middle,White,Catholic,695.0855379,39.62947614,0.503409567,38.61283708,13.34388928,0.338010989,Mixed,0.207495357,0.130515633
Protestant White Straight College degree Rural Unmarried women,Mosaic middle,White,Protestant,670.0697731,55.41900097,0.642443123,56.9677865,9.116436236,0.325846151,Mixed,0.140218811,0.185627339
Evangelical Black Straight No degree Rural Unmarried women,Black people,Black,Evangelical,665.9420519,84.43961412,0.633012959,80.35330856,3.445668349,0.323838894,Democratic,0.063623628,0.260215266
Nothing in particular White Straight College degree Suburban Unmarried women,Mosaic middle,White,Nothing in particular,662.2326725,76.54270465,0.742369274,74.43492639,5.876780372,0.322035071,Democratic,0.082328503,0.239706568
Nothing in particular White Straight College degree Rural Married women,Mosaic middle,White,Nothing in particular,653.7088404,64.62633766,0.687320102,61.62333138,6.15472509,0.317890043,Mixed,0.121995609,0.195894435
